Champs;Description;Xpath
Qualité déclarant PDF;Qualité du déclarant apparant sur le PDF;/declaration/general/qualiteDeclarantForPDF
Date début mandat;Date de début du mandat;/declaration/general/dateDebutMandat
Date fin mandat;Date de fin du mandat;/declaration/general/dateFinMandat
Date dernière déclaration;Date de la dernière déclarant;/declaration/general/dateDernDeclar
Régime matrimonial;Régime matrimonial du déclarant;/declaration/general/regimeMatrimonial
Commentaire régime matrimonial;Commentaire sur le régime matrimonial du déclarant;/declaration/general/regimeMatrimonialComments
Nom société;Nom de la société;/declaration/general/nomSociete
Nom de la société mère;Nom de la société mère;/declaration/general/nomSocieteMere
Chiffre affaire;Chiffre d'affaire de la société;/declaration/general/chiffreAffaire
Nombre de logements;Nombre de logements;/declaration/general/nbLogements
Civilité;Civilité du déclarant;/declaration/general/declarant/civilite
Nom;Nom du déclarant;/declaration/general/declarant/nom
Prénom;Prénom du déclarant;/declaration/general/declarant/prenom
Email;Adresse électronique du déclarant;/declaration/general/declarant/email
Téléphone;Numéro de téléphone du déclarant;/declaration/general/declarant/telephone
Date de naissance;Date de naissance du déclarant;/declaration/general/declarant/dateNaissance
Voie;Adresse du déclarant;/declaration/general/declarant/adresseDec/voie
Complément;Complément d'adresse;/declaration/general/declarant/adresseDec/complement
Code postal;Code postal de l'adresse;/declaration/general/declarant/adresseDec/codePostal
Ville;Ville de l'adresse;/declaration/general/declarant/adresseDec/ville
Pays;Pays de l'adresse;/declaration/general/declarant/adresseDec/pays
